ATM_long,ATM_lat,PS_x,PS_y,ATM_elev,dist_along
334.900839,79.20740500000001,399098.35663043533,-1102446.5990431758,889.251,11329.021144237076
334.90224700000005,79.208087,399100.0832049408,-1102366.729476862,889.8533,11408.90937042027
334.903654,79.20876899999999,399101.7868838657,-1102286.867532784,890.4747,11488.789484552619
334.902549,79.20823299999999,399100.46351968567,-1102349.6273406795,890.0036,11551.563243240866
334.902446,79.20729399999999,399133.4056570759,-1102446.8079180869,889.2616,11654.175372353686
334.90384700000004,79.207975,399135.03278273885,-1102367.0896818384,889.8823,11733.91021247073
334.905249,79.208656,399136.6755143669,-1102287.3651343987,890.5049,11813.651682432537
334.904142,79.208118,399135.3895888814,-1102350.3444594138,890.0217,11876.64413423203
334.904045,79.20718199999999,399168.33827493293,-1102447.1741592742,889.279,11978.926130143243
334.90544700000004,79.207862,399170.01989055803,-1102367.5515242056,889.9383,12058.566520940745
334.906849,79.208543,399171.66067536944,-1102287.8268155481,890.5367,12138.308112004112
334.905737,79.208003,399170.35448655026,-1102351.04655664,890.0592,12201.541345299187
334.905644,79.20707,399203.2712248301,-1102447.539311341,889.3129,12303.494095967248
334.90704500000004,79.20775,399204.93165545847,-1102367.9234824784,889.9781,12383.127237531284
334.908447,79.20842900000001,399206.64490032935,-1102288.4040649773,890.5745,12462.665108810912
334.90733,79.207888,399205.28125406214,-1102351.761498467,890.0994,12526.037215526336
334.907241,79.20695699999999,399238.2032252522,-1102448.0200369635,889.3541,12627.770014664631
334.908642,79.207636,399239.8989197525,-1102368.5067721836,890.0393,12707.30135852227
334.91004300000003,79.208315,399241.5909916079,-1102288.9941586663,890.6121,12786.831974108374
334.908924,79.207773,399240.22761034616,-1102352.468384367,890.1586,12850.320840350856
334.908842,79.20684399999999,399273.21252878784,-1102448.471799303,889.4272,12951.832714158816
334.910239,79.207522,399274.8665274706,-1102369.088971142,890.1085,13031.232771580084
334.911635,79.208201,399276.46047194843,-1102289.611037633,890.6566,13110.72668690614
334.91051699999997,79.207657,399275.192283068,-1102353.283874229,890.2234,13174.412151678222
