,ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along,slope_NS,slope_EW,ATM_elev_Sm,ATM_elev_SupSm
2073,78.936323,338.732799,483805.762412685,-1100428.2897006993,121.7934,86270.03994038953,0.032288599999999994,0.0456051,121.7934,130.02795
2074,78.936286,338.734412,483838.3694346934,-1100418.3712293156,122.6059,86304.12210520997,0.0301619,0.0167054,122.6059,130.02795
2075,78.93625,338.736026,483870.9514906704,-1100408.343292559,123.7381,86338.21242476378,0.0376985,0.0543355,123.7381,130.02795
2076,78.936213,338.737642,483903.6157765469,-1100398.3975575909,124.9651,86372.35731041126,0.0466592,0.027087,124.8873,130.02795
2077,78.936177,338.739257,483936.2166784965,-1100388.359247729,124.8873,86406.46869374311,0.0277585,-0.0023602,124.9651,130.02795
2078,78.936141,338.740873,483968.83660432283,-1100378.3115276569,125.8438,86440.60102796687,0.008324799999999999,0.0696237,125.8438,130.02795
2079,78.936105,338.7424890000001,484001.4563484321,-1100368.2628430878,127.4832,86474.73347246353,0.0264946,0.016510499999999997,127.4832,130.02795
2080,78.93607,338.744107,484034.0703095456,-1100358.0962475513,127.9096,86508.89529507769,0.0146918,-0.0011779000000000002,127.9096,130.02795
2081,78.936035,338.745724,484066.6648778287,-1100347.9371362757,128.3811,86543.03637624787,-0.024014,0.0176999,128.3811,130.02795
2082,78.936001,338.747343,484099.2536506928,-1100337.6601155729,130.0139,86577.20720110348,-0.0245578,0.0620233,129.5925,130.02795
2083,78.935967,338.748962,484131.84222934797,-1100327.3821319132,130.8373,86611.37813036908,0.0106793,-0.0129682,130.0139,130.02795
2084,78.93593299999998,338.75058,484164.4114096121,-1100317.1116355676,130.129,86645.52830750277,-0.0177071,-0.0052168,130.0139,130.02795
2085,78.93589899999998,338.752201,484197.0380078986,-1100306.8148249118,130.3233,86679.741159261,-0.0329278,0.0209383,130.0139,130.02795
2086,78.935866,338.753819,484229.5627718215,-1100296.4423601718,131.0808,86713.87982199137,-0.0221024,0.023769,130.0139,130.02795
2087,78.935833,338.75544,484262.1449469688,-1100286.043580198,132.0353,86748.08117813815,-0.025603700000000004,0.032366200000000005,130.0139,130.02795
2088,78.9358,338.75706,484294.7077179502,-1100275.6522900246,132.7938,86782.26177154218,-0.0095602,0.0068954,130.042,130.02795
2089,78.93576800000002,338.758682,484327.2646585735,-1100265.143092698,132.632,86816.4728459363,-0.0096883,-0.0149653,130.129,130.0855
