ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along,slope_NS,slope_EW
79.07425400000001,336.603711,437039.4978638723,-1103626.9214273498,728.857,132600.8220268144,-0.010492200000000002,-0.0192957
79.074372,336.60229,437007.3791512987,-1103625.7710352768,729.2902,132632.9613345124,-0.0118206,-0.0186752
79.07449,336.600868,436975.24150362634,-1103624.6273578117,729.7062,132665.1193256819,-0.0134455,-0.0187132
79.074608,336.59944900000005,436943.16196839424,-1103623.4598889025,730.0579,132697.2200977032,-0.014757499999999998,-0.0167312
79.074726,336.598027,436911.0249743841,-1103622.3143868253,730.4188,132729.3775005681,-0.015711600000000003,-0.0210021
79.074844,336.596604,436878.8690454545,-1103621.1755965997,730.8502,132761.55358809448,-0.0183207,-0.0229927
79.074962,336.595185,436846.79049070127,-1103620.0053944879,731.2949,132793.65347980827,-0.019035,-0.0226361
79.07508100000001,336.593766,436814.67204586964,-1103618.7326740252,731.702,132825.79713105978,-0.0201416,-0.021561
79.075199,336.592346,436782.574885566,-1103617.5682747848,732.1273,132857.91540506613,-0.021656599999999998,-0.0250186
79.075317,336.59092799999996,436750.5165756628,-1103616.387719257,732.5782,132889.99544473574,-0.0250674,-0.0246329
79.075436,336.589508,436718.3798598514,-1103615.1198879646,732.999,132922.1571595428,-0.0268176,-0.0255715
79.075554,336.588089,436686.3029445724,-1103613.945134841,733.4038,132954.25557911006,-0.0273374,-0.0251335
79.075673,336.586673,436654.2439369851,-1103612.6449954016,733.8686,132986.34093916797,-0.026562,-0.028914
79.075792,336.58525699999996,436622.1852612907,-1103611.343947732,734.3009,133018.4260044214,-0.033309399999999996,-0.0257899
79.075911,336.583842,436590.14617915003,-1103610.0343719122,734.6724,133050.49183940576,-0.035292000000000004,-0.0291868
79.07603,336.582425,436558.0689056963,-1103608.7391277645,735.0664,133082.5952524584,-0.0348274,-0.0281948
79.07615,336.581012,436526.02881636913,-1103607.3108816568,735.4491,133114.66715934023,-0.0335136,-0.0287673
79.07627,336.57959700000004,436493.9505408174,-1103605.8969653032,735.8509,133146.7765804161,-0.033384699999999996,-0.0287033
79.076389,336.578185,436461.9705760621,-1103604.5609062153,736.2878,133178.78444194474,-0.0334791,-0.030518599999999996
79.076509,336.576772,436429.9314949798,-1103603.1299402956,736.7743,133210.85546282123,-0.0347344,-0.0324059
79.07663000000001,336.57536,436397.8718281766,-1103601.5888298037,737.2529,133242.95214889754,-0.036026999999999997,-0.0320794
79.07675,336.573949,436365.871946447,-1103600.1408180243,737.7547,133274.9847755276,-0.0344197,-0.0338648
79.07687,336.572538,436333.8724016242,-1103598.6919018023,738.3113,133307.01710649312,-0.03400569999999999,-0.03444
79.076991,336.571127,436301.8330171048,-1103597.1404569636,738.9228,133339.09403186748,-0.0328,-0.0367304
79.077111,336.56971699999997,436269.85341007,-1103595.6821165865,739.5322,133371.10687339638,-0.0339459,-0.03456819999999999
79.077232,336.568309,436237.87249105633,-1103594.1060192296,740.1381,133403.12660580996,-0.0352242,-0.0379026
79.077352,336.5669,436205.91282170074,-1103592.6382592283,740.8153,133435.11996113166,-0.038287800000000004,-0.039939800000000004
