,ATM_lat,ATM_long,PS_x,PS_y,ATM_elev,dist_along,ATM_elev_Sm,ATM_elev_SupSm
3235,78.92108,340.2990680000001,514415.1754255693,-1088299.535407243,38.8196,119445.72658040002,39.9032,42.8494
3236,78.921083,340.300555,514443.27979988244,-1088285.8879383248,39.8469,119476.96932777297,40.0114,42.8951
3237,78.92108499999998,340.302044,514471.4685161727,-1088272.3206045688,40.44,119508.25312983313,40.44,42.9225
3238,78.921087,340.303533,514499.6568747318,-1088258.752540677,40.8613,119539.5369262144,40.8329,42.99185
3239,78.921089,340.30502,514527.80688861536,-1088245.2017070723,41.0544,119570.77869909992,40.8613,43.06595
3240,78.92109,340.306508,514556.022262607,-1088231.7399803335,40.9736,119602.04090337726,40.8745,43.09595
3241,78.92109,340.307994,514584.2460246977,-1088218.394298927,40.8329,119633.2608963107,40.9093,43.121
3242,78.921091,340.309481,514612.44170458,-1088204.940090554,40.8745,119664.5020884608,40.9736,43.1391
3243,78.921091,340.310968,514640.6837641083,-1088191.5839637094,40.9093,119695.7430879756,41.0544,43.19425
3244,78.92109,340.312454,514668.9532186607,-1088178.3348974322,41.2095,119726.96327083716,41.2095,43.2388
3245,78.92109,340.31394,514697.1755956228,-1088164.9862871112,42.0956,119758.18326377278,42.0956,43.349149999999995
3246,78.92109,340.315426,514725.3976263714,-1088151.6369448309,43.2362,119789.40325670832,43.2362,43.46425
3247,78.921089,340.316912,514753.6660525368,-1088138.3856778278,44.2217,119820.62344240696,43.9099,43.69075
3248,78.921088,340.318397,514781.91514620866,-1088125.1426610954,44.9813,119851.8226216502,44.2217,44.065799999999996
3249,78.921087,340.319882,514810.1638991964,-1088111.8989109946,45.637,119883.02180372426,44.3623,44.292
3250,78.921086,340.321368,514838.4313023872,-1088098.645441904,46.215,119914.24199792756,44.9813,44.6718
3251,78.92108499999998,340.3228529999999,514866.6793737214,-1088085.4002245956,46.6564,119945.44118566769,45.0354,45.00835
3252,78.92108499999998,340.324337,514894.86135942227,-1088072.0644593823,46.9187,119976.61917392655,45.637,45.06765
